cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J57I06000280001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J57I06000290001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J57I08000020001,C,,Man. Straord - settore officine,,16.2,cdp2017,178
J57I08000170001,C,,Evoluzione Tecnologica Sistemi Distribuiti,,15.18,agg2021,128
J57I08000200001,C,,Miglioramento sicurezza gallerie ferroviarie - Territorio Nazionale,,0.49,cdp2017,178
J57I09000060007,A/B,0336,Raddoppio Palermo-Messina tratta Fiumetorto- Castelbuono Raddoppio Fiumetorto-Ogliastrillo Raddoppio Ogliastrillo-Castelbuono,Città metropolitane,1017.57,agg2025,54
J57I09000120001,C,,Sviluppo realizz sistemi di diagnostic,,9.46,cdp2017,179
J57I10000070001,C,,Completamento SCC Tirrenica,,92.6,cdp2022,138
J57I10000210009,C,,Tecnologie per a protezione dei cantieri e dei mezzi d'opera,,8.41,agg2024,113
J57I10000220001,C,,Impianto di controllo rotabili in uscita dai principali scali ed interporti con Sistemi di Misura Carichi Verticali (SMCV),,1.52,agg2021,127
J57I11000190001,C,,Piano per la sicurezza della circolazione-Atto MIT (Protezione cantieri e mezzi d'opera),,4.77,agg2024,113
J57I11000570001,C,,Sviluppo tecnologico del Nodo di Milano su Milano C.Le-Malpensa,,0.24,cdp2017,179
J57I12000000001,C,,Aumento Produttività M.E.RM - 2012,,-0.28,agg2021,126
J57I12000060001,C,,Implem. sistemi IT area movimento e,,3.32,cdp2017,179
J57I12000070001,C,,Manut.Straord.Opere Dif.Infr.M.E.RM - 2012,,4.12,agg2021,126
J57I12000080001,C,,Miglioramenti infrastrutturali su linee - 2012,,0.24,agg2021,127
J57I12000090001,C,,Obblighi di Legge su linee AV/AC - Roma,,0.5,cdp2017,178
J57I12000100001,C,,Acq.Rimp.mat.inv.per ob.legge.prod.manut - 2012,,-0.04,agg2024,113
J57I12000110001,C,,Obblighi legge - RM - 2012,,0.52,agg2021,126
J57I12000120001,C,,MANUTENZIONE STRAORDINARIA STAZIONI - 2012,,1.85,agg2021,126
J57I12000130001,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-RM - 2012,,0.0,agg2024,113
J57I12000240001,C,,Separation of Duties (Sod),,0.83,agg2021,128
J57I12000260001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.0,agg2025,142
J57I12000280001,C,,Sistemi ICT di Handling,,1.0,agg2024,113
J57I12000290001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J57I12000710001,C,,Man.Str.Op.Dif.Infr.SettoreArm.eOp.Civ. - 2012,,0.1,agg2023,37
J57I13000020001,C,,Aumento Produttività M.E.RM - 2013,,0.06,agg2021,126
J57I13000050001,C,,Acquisto a rimpiazzo di materiale d'inve - 2013,,-0.16,agg2021,126
J57I13000060001,C,,Miglioramento dei sistemi di diagnostica - 2013,,0.22,agg2021,128
J57I13000310001,C,,Implem. sistemi IT area movimento e,,2.55,cdp2017,179
J57I18000050001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,15.0,agg2025,142
J57J18000060001,C,,Upgrading BO-PD/Rovigo Monselice,,18.95,agg2024,113
J57J18000090001,C,,Sicurezza ed Obblighi di Legge,,1.43,agg2025,136
J57J19000010001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,17.77,agg2025,142
J57J19000020001,C,,Sicurezza ed Obblighi di Legge,,68.4,agg2025,136
J59B07000140001,C,,Sistemi Commerciali,,0.3,cdp2017,179
J59B08000180001,C,,Evoluzione Infrastruttura IT,,5.77,cdp2017,179
J59B08000190001,C,,Strumenti di Governo IT,,7.95,agg2021,128
J59B08000200001,C,,Evoluzione Sistema Prescrizioni MOV,,0.97,cdp2017,179
J59B08000210001,C,,"Sist. Ricerca, Svil e Contr Circol C.E.",,2.2,agg2024,113
J59B08000220001,C,,Sistemi di Rete,,0.57,cdp2017,179
J59B09000060001,C,,Sistemi per i processi di supporto,,0.56,cdp2017,179
J59B09000070001,C,,Standardizzazione Servizi IaP e Sistemi di campo,,18.75,agg2021,128
J59B11000150001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.0,agg2025,142
J59B11000160001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J59B12000020001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J59B12000040001,C,,Implementazioni Sistemi IT Area Produzione - 2012,,1.0,agg2024,113
J59B12000050001,C,,Catasto e Banca Dati Immobiliare,,2.48,agg2021,128
J59B13000030001,C,,Sistemi per i processi di supporto,,0.75,cdp2017,179
J59B13000040001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J59B13000050001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J59F09000000001,C,,Attività di accatastamento per obblighi di legge,,9.2,agg2021,128
J59G00000000011,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J59G00000000031,C,,Interventi di potenziamento e razionalizzazione scali merci - Palermo,,-0.01,agg2023,37
J59G00000000041,C,,Interventi di potenziamento e razionalizzazione scali merci - Milano,,0.54,agg2021,129
J59G00000000051,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,140
J59G00000000061,C,,Ampliamento scalo merci Bari Lamasinata realizzazione di 4 binari tronchi,,0.52,cdp2017,180
J59G00000000111,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J61B21003450001,A/B,P250,Intermodalità e accessibilità Trapani Birgi Intermodalità e accessibilità aeroporto Trapani Birgi,"Aeroporti, accessibilità su ferro",47.78,agg2025,58
J61C10000020008,C,,Opere di collegamento del ponte sullo stretto di Messina con la linea Battipaglia-Reggio Calabria,,0.06,agg2021,129
J61G24000030001,A/B,P270,Opere di collegamento al Ponte sullo stretto di Messina - sponda calabra e siciliana Opere di collegamento al Ponte sullo stretto di Messina - sponda ,Direttrici di interesse nazionale,1766.0,agg2025,73
J61H00000210001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J61H00000220008,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,142
J61H00000240001,C,,COSTRUZ. IDP NAPOLI SMISTAMENTO,,4.2,cdp2017,180
J61H01000190001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.18,agg2025,133
J61H02000090008,A/B,0226,Raddoppio Orte-Falconara: tratta Spoleto-Terni Raddoppio Spoleto-Terni PROG ITER,Direttrici di interesse nazionale,1618.04,agg2025,77
